"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"	"Absolute (rad/s)"
1,466720834E-2	3,143349662E-2	6,634862721E-2	5,854115821E-3	7,365104015E-2
2,458920833E-2	-2,562073432E-2	-6,536944956E-2	1,195181627E-3	7,022118926E-2
3,451020835E-2	2,519459696E-3	-6,280862726E-4	-4,603423178E-2	4,610740358E-2
4,443220835E-2	1,150363404E-2	1,987292804E-2	-1,171247847E-2	2,577690860E-2
5,435320834E-2	-9,696933441E-3	-1,908473670E-2	-2,354078926E-2	3,181864944E-2
6,427520834E-2	6,807208993E-3	1,973989047E-2	-9,539527446E-2	9,765377494E-2
7,419720833E-2	4,170861095E-3	1,093085948E-2	-6,006385386E-2	6,119269819E-2
8,411820832E-2	-2,268165117E-4	-3,456069855E-3	-2,250156365E-2	2,276655950E-2
9,404020835E-2	-1,540698344E-3	-1,861849800E-3	-4,424659908E-2	4,431254637E-2
1,039612083E-1	-2,288780175E-3	-1,028013881E-3	-3,410821408E-2	3,420037419E-2
1,138832083E-1	2,443137113E-3	-5,038082600E-5	-7,413842250E-3	7,806184349E-3
1,238042083E-1	6,107913330E-3	9,187592193E-3	-2,518685535E-3	1,131645847E-2
1,337262083E-1	8,904363960E-3	1,811713353E-2	-3,701245878E-3	2,052358268E-2
1,436482084E-1	8,627127856E-3	1,463904511E-2	-1,437825384E-3	1,705275106E-2
1,535692083E-1	8,611658588E-3	1,594242267E-2	-2,495454159E-3	1,829067510E-2
1,634912083E-1	1,027906407E-2	1,604575291E-2	-1,140970271E-3	1,908997532E-2
1,734122083E-1	8,489189669E-3	1,781671494E-2	-1,999042695E-3	1,983678009E-2
1,833342083E-1	1,003542077E-2	1,794721000E-2	-1,665615011E-3	2,062974285E-2
1,932552083E-1	3,979840316E-3	-6,516012363E-4	-6,148455199E-3	7,353041170E-3
2,031772083E-1	2,442131285E-3	9,677467868E-3	-1,180900354E-2	1,546188715E-2
2,130992083E-1	3,812619019E-3	1,174591854E-2	-1,382199954E-2	1,853511094E-2
2,230202083E-1	8,014288731E-3	1,444822736E-2	-1,806840859E-2	2,448361670E-2
2,329422083E-1	7,878345437E-3	2,270743810E-2	-3,172104433E-2	3,979850155E-2
2,428632083E-1	1,492959633E-2	2,834055759E-2	-2,274619229E-2	3,928701204E-2
2,527852083E-1	1,184799243E-2	2,343915403E-2	-1,707750559E-2	3,132746500E-2
2,627072083E-1	1,283496059E-2	2,135869116E-2	-1,507028192E-2	2,912118299E-2
2,726282083E-1	1,072784327E-2	2,577344142E-2	-1,561312191E-2	3,198634833E-2
2,825502083E-1	5,567435175E-3	1,906120963E-2	-5,511219613E-3	2,060824080E-2
2,924712083E-1	1,112361252E-2	2,340932563E-2	-5,450678058E-3	2,648473472E-2
3,023932083E-1	9,876986966E-3	3,436183929E-2	-1,131735463E-2	3,750164512E-2
3,123142083E-1	1,422133017E-2	3,926434740E-2	-1,658245549E-2	4,493231620E-2
3,222362083E-1	1,346179657E-2	5,152847245E-2	-2,560258098E-2	5,909226339E-2
3,321582083E-1	1,372987963E-2	7,364000380E-2	-3,168559074E-2	8,133471839E-2
3,420792083E-1	1,791610196E-2	9,940528870E-2	-4,161598533E-2	1,092441686E-1
3,520012083E-1	1,295390632E-2	1,777700484E-1	-5,136821792E-2	1,854957886E-1
3,619222083E-1	1,680643484E-2	2,854658961E-1	-5,851481110E-2	2,918856235E-1
3,718442083E-1	1,027597580E-2	3,591475189E-1	-6,819268316E-2	3,657085971E-1
3,817652083E-1	8,047442883E-3	4,093049467E-1	-7,401221991E-2	4,160205637E-1
3,916872084E-1	2,421709476E-3	4,848890901E-1	-9,726271033E-2	4,945536666E-1
4,016092083E-1	7,321659476E-3	5,611785650E-1	-1,226743311E-1	5,744771362E-1
4,115302083E-1	3,269466106E-3	5,883525014E-1	-1,257113665E-1	6,016416732E-1
4,214522083E-1	2,039884450E-3	5,817039013E-1	-1,022710279E-1	5,906292856E-1
4,313732083E-1	-1,084764767E-2	5,698801875E-1	-8,893870562E-2	5,768805708E-1
4,412952084E-1	-3,793918341E-2	6,575487852E-1	-7,705701143E-2	6,631346542E-1
4,512162083E-1	-4,690334946E-2	8,277273178E-1	-7,298367471E-2	8,322614094E-1
4,611382083E-1	-1,037578508E-1	1,036701322E0	-9,363941848E-2	1,046080142E0
4,710602083E-1	-1,326301992E-1	1,300355315E0	-1,180412546E-1	1,312420837E0
4,809812083E-1	-1,085866392E-1	1,551061511E0	-1,133524925E-1	1,558984175E0
4,909032083E-1	-3,125399724E-2	1,759412766E0	-8,105178177E-2	1,761555984E0
5,008242083E-1	4,487059638E-2	1,845774055E0	-4,235818237E-2	1,846805200E0
5,107462083E-1	3,453448042E-2	1,907392383E0	-2,365633659E-2	1,907851659E0
5,206672083E-1	-3,041655384E-2	1,859883428E0	-1,961206086E-2	1,860235513E0
5,305892083E-1	-6,011621282E-2	1,628593683E0	-3,681606054E-2	1,630118636E0
5,405112083E-1	-4,585259035E-2	1,177585483E0	-5,991765112E-2	1,180000065E0
5,504322083E-1	-6,928358227E-2	7,008697391E-1	-3,389604762E-2	7,051010906E-1
5,603542083E-1	-1,025451347E-1	3,776583672E-1	-4,666723683E-2	3,941055416E-1
5,702752083E-1	-9,205574542E-2	1,498708278E-1	-6,273971498E-2	1,867399184E-1
5,801972083E-1	-1,228927542E-2	-1,196051165E-1	-5,585730448E-2	1,325761994E-1
5,901192083E-1	1,008359995E-2	-4,137130678E-1	-4,952563718E-2	4,167888796E-1
6,000402083E-1	-1,230440959E-1	-5,991215706E-1	-5,838730559E-2	6,144066921E-1
6,099622083E-1	-3,077282012E-1	-7,539334893E-1	-9,358648211E-2	8,196772424E-1
6,198832083E-1	-3,593703806E-1	-8,455752134E-1	-1,061795056E-1	9,248884254E-1
6,298052083E-1	-2,466225773E-1	-6,465866566E-1	-6,493408978E-2	6,950636202E-1
6,397262083E-1	-7,247687876E-2	-3,749237061E-1	-1,080001891E-2	3,820174390E-1
6,496482083E-1	1,808068948E-3	-2,830358967E-2	2,409044094E-2	3,721171383E-2
6,595702083E-1	-4,093726352E-2	3,786884248E-1	1,356669329E-2	3,811362457E-1
6,694912083E-1	-1,148944423E-1	5,700328350E-1	-5,737913307E-3	5,815247970E-1
6,794132083E-1	-1,865926087E-1	4,146235585E-1	1,115291938E-2	4,548119221E-1
6,893342083E-1	-1,785272509E-1	1,429585218E-1	2,828583494E-2	2,304543485E-1
6,992562083E-1	-6,844495237E-2	-8,454281092E-2	3,332160786E-2	1,137652317E-1
7,091772083E-1	6,307678670E-2	-9,051826596E-2	1,481864136E-2	1,113185951E-1
7,190992083E-1	7,786025852E-2	2,902227454E-3	-2,475646324E-2	8,175283025E-2
7,290212083E-1	-4,092095792E-2	1,192399934E-1	-4,886783659E-2	1,352063840E-1
7,389422084E-1	-2,276434451E-1	3,016780019E-1	-4,831842706E-2	3,810063324E-1
7,488642083E-1	-3,364370465E-1	5,590991378E-1	-1,488155220E-2	6,526892007E-1
7,587852083E-1	-3,097372651E-1	8,121364713E-1	1,683802903E-2	8,693597303E-1
7,687072083E-1	-1,461253464E-1	1,022980928E0	3,302688152E-2	1,033892340E0
7,786282083E-1	-2,067794465E-2	9,754964709E-1	3,716410324E-2	9,764231218E-1
7,885502084E-1	1,604434848E-2	7,833527327E-1	9,809412062E-3	7,835784258E-1
7,984722083E-1	3,207018599E-2	8,075461984E-1	-4,090969265E-2	8,092175000E-1
8,083932083E-1	4,606754333E-2	9,051019549E-1	-1,278579533E-1	9,152482852E-1
8,183152083E-1	-2,669370733E-3	9,424668550E-1	-1,499715149E-1	9,543282212E-1
8,282362083E-1	-1,098081321E-1	9,272291064E-1	-1,095645279E-1	9,401149012E-1
8,381582083E-1	-2,537719607E-1	8,481875658E-1	-7,354234159E-2	8,883866449E-1
8,480802084E-1	-3,674611151E-1	8,858391047E-1	-7,257994264E-2	9,617725503E-1
8,580012083E-1	-3,782133460E-1	8,799894452E-1	-1,006382033E-1	9,630964680E-1
8,679232083E-1	-2,743030190E-1	8,313888311E-1	-8,442721516E-2	8,795325403E-1
8,778442083E-1	-1,915642172E-1	7,793700695E-1	-1,224699393E-1	8,118580175E-1
8,877662083E-1	-1,093313098E-1	6,260802150E-1	-1,532532126E-1	6,537708452E-1
8,976872083E-1	-8,760497719E-2	2,636932731E-1	-1,446789056E-1	3,132742569E-1
9,076092083E-1	-3,534123674E-2	2,656807899E-1	-9,091713279E-2	2,830215720E-1
9,175313333E-1	1,213517040E-1	3,203088939E-1	8,043265902E-3	3,426203697E-1
9,274523333E-1	2,259964198E-1	1,557706445E-1	9,199181944E-2	2,894846633E-1
9,373743333E-1	2,254909575E-1	5,481901020E-2	1,057323962E-1	2,550110496E-1
9,472953333E-1	1,325613409E-1	-1,329674385E-2	6,996747106E-2	1,504817581E-1
9,572173333E-1	6,451883819E-3	-7,769885473E-3	2,051896043E-2	2,286975431E-2
9,671383333E-1	-1,071134880E-1	3,866638523E-3	-2,630444057E-2	1,103638247E-1
9,770603333E-1	-1,350343376E-1	-5,717354640E-2	-4,655006155E-2	1,538505605E-1
9,869823333E-1	-3,272698075E-2	-1,944576949E-1	-3,840773925E-2	2,008979960E-1
9,969033333E-1	1,192809269E-1	-3,356417120E-1	-9,587009437E-3	3,563358094E-1
1,006825333E0	1,909019649E-1	-5,415189862E-1	2,825991064E-2	5,748782438E-1